Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	Cc1cc(Nc2nccc(-c3cccc4c3OCCO4)n2)cc2cc[nH]c12	Cc1cccc2cc[nH]c12.c1ccc2c(c1)OCCO2	1.0	1.0	0	0.01
1	O=[N+]([O-])c1ccc(OCC(O)CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1	C1CNCCN1.Clc1ccccc1Cl	1.0	1.0	0	0.46
1	CCC(c1cccc(Cl)c1Cl)N1CCN(Cc2ccccc2)CC1	C1CNCCN1.Clc1ccccc1Cl	1.0	1.0	0	0.04
1	O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCN(c2cccc(Cl)c2Cl)CC1	C1CNCCN1.Clc1ccccc1Cl	1.0	1.0	0	0.24
1	CCCC(=O)c1cccc(CNc2c(C(=O)OCC)[nH]c3ccc(Cl)cc23)n1	CCCC.c1ccncc1	1.0	1.0	0	0.01
1	Cn1c(F)nnc1-c1ccc2c(n1)CCC2c1ccc(OC(F)(F)F)cc1	Cn1cnnc1	1.0	1.0	0	0.12
1	O=S(=O)(NC1CCCCC1)c1ccc(N2CCNCC2)c(C(F)(F)F)c1	C1CCCCC1.C1CNCCN1	1.0	1.0	0	0.04
1	Cn1c(-c2ccccc2)ccc1C1CCC(CCN2CCNCC2)CC(=O)N1	C1CNCCN1.Cn1cccc1.O=C1CCCCCN1	1.0	1.0	0	0.19
1	CN1CCC(CC(C)(Cc2ccccc2)C(=O)O)C2=C1Cc1c(Br)[nH]c3cccc2c13	CC(C)C.CN1CCCC2=C1Cc1c(Br)[nH]c3cccc2c13	1.0	1.0	0	0.0
1	CC(C)c1ccc(CN2CCC3(CC2)C(=O)NCN3c2ccccc2)cc1	O=C1NCNC12CCNCC2	1.0	1.0	0	0.25
1	N#Cc1ccc(CC(=O)c2c[nH]c3ccccc23)cc1	N#Cc1ccccc1.c1ccc2[nH]ccc2c1	1.0	1.0	0	0.0
1	CCOc1ccc2c(c1F)CNC(=O)C1CCN(c3ccc(C)c(C)c3)CC1=NC(N=C1c3cccn3C1C(F)(F)F)=C2	FC(F)F.Fc1ccccc1	1.0	1.0	0	0.0
