Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	CC(=O)Oc1ccc(-c2cc(C(=O)O)cc(C(=O)C(C)c3nc4ccccc4[nH]3)c2)cc1	CCC.c1ccc2[nH]cnc2c1	1.0	1.0	0	0.0
1	Cc1cc(OCc2cc(C(=O)N3CCN(Cc4ccccn4)CC3)no2)ccc1Cl	C1CNCCN1.c1ccncc1	1.0	1.0	0	0.0
1	O=C(CCCCN1CCc2ccccc2C1=O)Nc1cccc(OC(F)(F)F)c1	CCCC.O=C1NCCc2ccccc21	1.0	1.0	0	0.09
1	C=CCC(CC(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)NC1(C(=O)NCc2ccccc2)CC1C=C	C1CCCCC1.c1ccccc1	1.0	1.0	0	0.02
1	CC(C)(C)OC(=O)N1CCC(COc2nc(-c3ccccc3)c(F)c(-c3nc4ccccc4[nH]3)c2F)CC1	C1CCNCC1	1.0	1.0	0	0.03
1	COc1cc(OC)cc(C2CCN(C(C)(C)C)CC2)c1	C1CCNCC1	1.0	1.0	0	0.01
1	C#CC1=CCCC(Oc2ccn3ncc(C(=O)c4ccc(O)cc4)c3c2)C1	C#CC1=CCCCC1.c1ccn2nccc2c1	1.0	1.0	0	0.04
1	CC(C)(C)OC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)c(F)c3)n2)CC1CC#N	C1CCNCC1	1.0	1.0	0	0.0
1	Oc1nc(N2CCOCC2)nc2scnc12	CCO	1.0	1.0	0	0.0
1	CCc1ccccc1C1CCN(CCc2ccc(OC)cc2)CC1COC(=O)N(C)C	C1CCNCC1	1.0	1.0	0	0.08
1	CCCC(CC)NC(=O)c1ccc2oc(-c3cccc(C4(N5CCN(C(=O)OCC)CC5)CCCc5ccccc54)c3)nc2c1	C1CNCCN1.CCCCCC.c1ccc2ocnc2c1	1.0	1.0	0	0.05
1	CC1CCN(CCCCCOc2ccc3c(c2)CCNC3=O)CC1	CCCC.O=C1NCCc2ccccc21	1.0	1.0	0	0.14
1	Cn1c(-c2ccc(C(F)(F)F)cc2)nnc1-c1cnc(N2CC3C(N)C3(Cc3cocn3)C2)cn1	C1NCC2CC12.Cc1cocn1.Cn1cnnc1.c1ccccc1	1.0	1.0	0	0.0
1	CCN1CCN(c2ccccc2C#N)CC1CC(=O)N1Cc2ccccc2C1	C1CNCCN1.CC=O	1.0	1.0	0	0.07
1	CCC(CC)C(=O)NC(C)C(=O)NC(C1CCCCC1)N1C(=O)C(=O)NC(c2cccs2)C1=O	C1CCCCC1.c1ccsc1	1.0	1.0	0	0.0
1	O=C(CC12CC3CC(CC(C3)C1)C2)N1CCN(c2ccccc2)CC1	C1C2CC3CC1CC(C2)C3.C1CNCCN1.c1ccccc1	1.0	1.0	0	0.0
1	C[n+]1ccc(Nc2ccccc2-n2cnnc2-c2ccc(CNc3ccc(N4CCOCC4)cn3)cn2)cc1	CCO	1.0	1.0	0	0.03
1	CC1CNCC(OCc2c[nH]c3ccc(-c4ccc(Br)cc4)cc23)C1O	Brc1ccccc1.OC1CCNCC1.c1ccc2[nH]ccc2c1	1.0	1.0	0	0.03
1	OC(COC1=Cc2onnc2C=CC=C1)C(O)C1CCC(c2cccc(Cl)c2Cl)CC1	CCCC.Clc1ccccc1Cl	1.0	1.0	0	0.0
1	O=C1NCC2CC(COS(=O)(=O)c3ccccc3)CN2S(=O)(=O)c2cccc1c2	C1CCNC1.CO	1.0	1.0	0	0.04
1	Cc1cnc(OCCN(C)C)c(C(=O)NCCCCNc2ccc(Cl)c(Cl)c2)c1	CCCC.Clc1ccccc1Cl	1.0	1.0	0	0.01
1	CN(C)CC1COc2ccc(cc2)-c2oc3c(c21)=COC(=O)C=CC=3	CCC.CNC	1.0	1.0	0	0.0
1	O=C(NC1(CN2CCN(c3nsc4ccccc34)CC2)CCCCC1)c1ccccn1	C1CCCCC1.C1CNCCN1.c1ccncc1	1.0	1.0	1	0.5
