Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	COC1CCC(N2CCNCC2c2cc3c(F)c(Oc4c5c(cc(C=O)c4C(=O)O)OCCO5)ccc3[nH]2)C1	C1CNCCN1.Fc1cccc2[nH]ccc12.c1ccc2c(c1)OCCO2	1.0	1.0	0	0.04
1	CCCCOc1ccc(NC(=O)COc2ccc([N+](=O)[O-])c(-c3cc(C)cc(C)c3)c2)cc1	CC=O.CCCC.O=[N+]([O-])c1ccccc1	1.0	1.0	0	0.0
1	CC(C)N(C(=O)c1ccc(N2CCCN(C3CCCC3)CC2)c(NC(=O)Nc2cccc3ccccc23)c1)C(C)C	C1CNCCNC1.CCCC	1.0	1.0	0	0.04
1	CCCNC(=O)C1CCC2c3cccc4[nH]cc(c34)CC2N1C	CN1CCCC2c3cccc4[nH]cc(c34)CC21	1.0	1.0	1	0.36
1	OC1CC2CCC(C1)N2CCOc1cncc(-c2cc(F)cc3ccoc23)c1	Fc1ccc2occc2c1.OC1CC2CCC(C1)N2	1.0	1.0	0	0.13
1	C=C1C(Cn2nc(C)c(Br)c2CC)=NN=C1SCC(=O)N1CCN(c2ccccc2OC)CC1	C1CNCCN1	1.0	1.0	0	0.0
1	Cc1nc(N2CCC(O)(c3ccccc3)CC2)nc(Cl)c1C(=O)Oc1ccc(Br)cc1	Brc1ccccc1.OC1CCNCC1	1.0	1.0	0	0.01
1	CN(C)C(=O)C1(C(=O)O)NCC2CCCCC2C1C(=O)O	CCCCC	1.0	1.0	0	0.0
1	Cc1ccccc1CN1CCN(C(=O)C(N)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NCC2CCCCC2)CC1	C1CCCCC1.C1CNCCN1.Cc1ccccc1	1.0	1.0	0	0.08
1	COc1cccc(N2CCN(Cc3cc(-c4ccc(Cl)cc4)nn3-c3ccccc3)CC2)c1	C1CNCCN1	1.0	1.0	0	0.1
1	CCC(=O)NCCc1c[nH]c2ccccc12	c1ccc2[nH]ccc2c1	1.0	1.0	0	0.0
1	CC(C)c1ccc(OCCN2CCN(CCCNC(=O)c3ccc(-c4coc(-c5ccc(Cl)nc5)n4)cc3)CC2)cc1	C1CNCCN1	1.0	1.0	0	0.11
1	O=CC(CCCCCOc1ccc2c(c1)C=C1C=CC(=O)CN=C1C2)CC(=O)O	CCCCC	1.0	1.0	0	0.05
1	O=C1NC(CS)CC(N2CCN(C(=O)C(c3ccccc3)c3ccccc3)CC2)C(=O)Nc2ccccc21	C1CNCCN1.CS	1.0	1.0	0	0.01
1	CC1CN(CC=Cc2ccccc2[N+](=O)[O-])CCN1c1ncnc2cccc(Cl)c12	O=[N+]([O-])c1ccccc1	1.0	1.0	0	0.03
1	Nc1ccccc1-c1ccc(C(=O)NC2CCc3ccc(O)cc3C2)cc1F	Nc1ccccc1.Oc1ccc2c(c1)CCCC2	1.0	1.0	1	0.317
1	COc1ccccc2c(C#N)c(NCc3ccccc3)cc1-2	CO.N#Cc1ccc2cccccc1-2.c1ccccc1	1.0	1.0	0	0.0
1	O=C(CCCN1CCC2C(C1)c1cccc3c1N2CCN3)n1cc(-c2ccc(Cl)cc2)cn1	CCCC=O.c1cc2c3c(c1)C1CNCCC1N3CCN2	1.0	1.0	1	0.55
1	CCCCn1c(N2CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)nc2scc(-c3ccc(Cl)cc3)c2c1=O	C1CNCCN1	1.0	1.0	0	0.03
1	CNC1(C2COc3c(CCCCCCCCCC=O)cc(Cl)cc32)CCCN1	C1CCNC1.C=O.CCCCCCCCC.Clc1ccc2c(c1)CCO2	1.0	1.0	0	0.0
1	CCC(C)(C)N1CC2=C(C1=O)C(F)=C(Oc1cccc(C(CC(O)CN3CCN(C(=O)Nc4ccccc4C(C)O)CC3)C(C)(C)C)c1)CC=C2	C1CNCCN1	1.0	1.0	0	0.0
1	CC(=O)c1ccc(C(CN)N2CCN(Cc3ccc4cc(F)ccc4c3)CC2)cc1	C1CNCCN1	1.0	1.0	0	0.0
1	COc1ccc(N2CCN(C)CC2c2noc(CNC3CC(c4ccccc4)Cc4cc(OC)ccc43)n2)cc1	C1CNCCN1.CNC1CCCc2ccccc21.CO	1.0	1.0	0	0.14
1	CC(C)CCN1CCC2(CC1)C(=O)NCN2c1ccc(F)cc1I	Fc1cccc(I)c1.O=C1NCNC12CCNCC2	1.0	1.0	1	0.2
