Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	Fc1ccc(-c2ccc(CN3CCN(c4ccc5ccccc5c4)CC3)o2)cc1F	Fc1ccccc1F	1.0	1.0	0	0.03
1	COc1ccc2c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)coc2c1	CO.Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccccc21	1.0	1.0	1	1.0
1	CC(=O)CC(=O)N1CCCc2ccccc21	c1ccccc1	1.0	1.0	0	0.0
1	O=C(NC1(F)CCCCC1)N1CCC(N2CCC(Oc3ccc(OC(F)(F)F)cc3)C2)CC1	C1CCCCC1.C1CCNC1	1.0	1.0	0	0.03
1	CCCCCn1c(SCCC(=O)N2CCOCC2)nnc1-c1ccc(OC)c(OC)c1	c1ccccc1	1.0	1.0	0	0.0
1	O=C(N(CCCN1CCc2ccccc2C1)CC1(c2ccc(-c3ccccc3)cc2)Sc2ccccc2S1)N(c1ccccc1)c1ccccc1	c1ccccc1	1.0	1.0	0	0.0
1	O=C(NCCS)c1cnc(N2CCC3(CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)CC2)c(C(F)(F)F)c1	FC(F)F.c1ccccc1	1.0	1.0	0	0.06
1	Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1	Cn1cccn1.Fc1ccccc1.Nc1nccc2sccc12	1.0	1.0	1	1.0
1	Cn1c(=O)n(-c2ccc(OCCN3CCOCC3)cc2)c(=O)c2cc(-c3cn(-c4ccc(F)cc4)c(=S)n(CCc4ccccc4)c3=O)sc21	C1COCCN1.Fc1ccccc1	1.0	1.0	0	0.06
1	CC(=Cc1ccncc1)c1c(Cl)nc2nc1N1CCN2CC1	Clc1ccncn1	1.0	1.0	0	0.14
1	CC#Cc1cc(-c2cc3nccc(N4CCN(C)CC4)c3cc2Cl)cs1	CC#Cc1cccs1.CN1CCNCC1	1.0	1.0	0	0.19
1	COc1ccc(C=NNC=O)cc1OC(=O)c1ccc(N(C)C)cc1	CO.O=CNN=Cc1ccccc1	1.0	1.0	0	0.02
1	CC(=O)Oc1ccccc1-c1cnc(O)c2c(-c3cccc(N=S(C)(=O)O)c3)csc12	CS(=O)(O)=Nc1ccccc1.Oc1nccc2sccc12	1.0	1.0	1	0.26
1	C=C1C=CC=C1C=C1C(=O)Nc2cc(C(=O)N3CCN(c4cc(Br)c(O)c(Br)c4)CC3)ccc21	O=C1Cc2ccccc2N1.Oc1c(Br)cccc1Br	1.0	1.0	1	0.36
1	Cc1ccc2c(c1)NC(=O)C(c1ccnc(CCNc3ccc(S(C)(=O)=O)cc3C(F)(F)F)n1)C2	CS(=O)(=O)c1ccccc1.FC(F)F.O=C1CCc2ccccc2N1.c1cncnc1	1.0	1.0	0	0.08
1	COc1ccc(OC)c(-c2nc(Nc3cc(OC)ncn3)c3c(F)cccc3n2)c1	c1ccc2ncncc2c1	1.0	1.0	1	0.2
1	CC1C(O)CCC2C1CCC1(C)C2CCC2CC(C)(C)CCC21C(=O)C1CCCCNC1=O	CC=O	1.0	1.0	0	0.1
1	CN(CCC(=O)NCC1CCCC(C(=O)NC(C)(C)C)C1)c1cc2cc[nH]c2nc1-c1ccccc1	C1CCCCC1.CC(C)C.c1cnc2[nH]ccc2c1	1.0	1.0	1	0.2
1	O=C1NN=C(c2ccccc2F)OC1CC1CCN(c2ncc3ccccc3n2)CC1	C1CCNCC1.Fc1ccccc1	1.0	1.0	0	0.0
1	CC(C)(CC(O)CN1C(=O)c2cnn3c2N=C3C1c1cccc(C(F)(F)F)c1)NC(=O)C=Cc1cnccn1	c1ccccc1	1.0	1.0	0	0.0
1	CCOc1ccc2c(c1)S(=O)(=O)N(CC(=O)NCc1ccc(OC)cc1)c1cc([N+](=O)[O-])ccc1O2	CC=O	1.0	1.0	0	0.03
1	N#CC1CCCN1C(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1	C=O	1.0	1.0	0	0.0
1	CCN1CCCC=C1CCN1CCN(c2ccc(CC3NC(=O)c4nccnc43)cc2)CC1	c1ccccc1	1.0	1.0	0	0.0
1	Cc1ccc(C(=O)O)cc1N1C(=O)C(=Cc2cc(O)c([N+](=O)[O-])c(O)c2)CSC1=S	Cc1ccccc1.O=CO	1.0	1.0	0	0.03
1	COc1ccc(S(=O)(=O)N(C)CC(=O)N2CCC(C)CC2)cc1Cl	CC1CCNCC1	1.0	1.0	0	0.0
1	Nc1ncnc2sc(C(=O)NC(c3ccc(F)cc3)c3ccc(F)cc3F)cc12	C=O.Fc1ccccc1.Nc1ncnc2sccc12	1.0	1.0	0	0.19
