Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	O=C(O)c1cccc(-c2ccc3c(=O)oc(O)cc3c2)c1	O=CO	1.0	1.0	0	0.14
1	Clc1nc(NC2CCCCC2)nc(Nc2ccccc2)c1-c1ccccc1	C1CCCCC1.Clc1ccncn1	1.0	1.0	1	0.32
1	NC1=Nc2cc(Cl)ccc2N(Cc2cnn(CC3CCC(NCC(F)(F)F)CC3)c2-c2cccc(Cl)c2)C1	C1CCCCC1.Clc1ccccc1	1.0	1.0	0	0.19
1	CCOC(=O)c1c(OC)cccc1OC(=O)c1ccc(C#N)cc1	O=CO	1.0	1.0	0	0.01
1	CC1=CCCC2=C(C=CC=CC(=O)N3C(CC(=O)O)CCC23)C1	O=CO	1.0	1.0	0	0.0
1	N#Cc1ccc(N2C3=CC=C=CC=C3C=NN=C2c2ccc(S(=O)(=O)c3cc(F)c(F)cc3F)cc2)cc1	N#Cc1ccccc1	1.0	1.0	0	0.0
1	CC1=C(c2ccc(N)nc2)N=CN(c2cccc(C(=O)Nc3cnc4[nH]nc(C)c4n3)c2)c2nc[nH]c21	Cc1n[nH]c2nccnc12.Nc1ccccn1	1.0	1.0	1	0.38
1	Nc1ncc(Cl)c(-c2ccnc(Nc3ccc(F)cc3F)n2)n1	Fc1cccc(F)c1.c1cncnc1	1.0	1.0	1	0.6
1	O=CNCc1ccc(-c2cnc(Cc3cccnc3)o2)cc1C(F)(F)F	C=O.c1ccccc1.c1ccncc1.c1cocn1	1.0	1.0	0	0.17
1	O=C(O)c1ccc(-c2nccs2)cc1	O=CO	1.0	1.0	0	0.04
1	CC(C)c1ccnc2nc(-c3cccc(-c4ccccc4F)c3CC(=O)O)[nH]c12	Fc1ccccc1.c1cnc2nc[nH]c2c1	1.0	1.0	1	0.33
1	NC(=O)C(N)c1oc(-c2ccccc2)nc1N	NC=O.c1ccccc1	1.0	1.0	0	0.0
1	O=C(NCc1ccccc1Cl)N1CCC(CNc2ccc(-c3ncnc4c3ccn4F)cc2Cl)CC1	c1ncc2cc[nH]c2n1	1.0	1.0	0	0.19
1	O=C(NCC12CC3CC(CC(C3)C1)C2)Oc1ccccc1	C1C2CC3CC1CC(C2)C3.c1ccccc1	1.0	1.0	0	0.01
1	CCCCCCCCn1c(N)nc2cc(C(=O)O)ccc21	O=CO	1.0	1.0	0	0.04
1	CN(C)S(=O)(=O)Nc1nc2cc(C3CC3)c(-c3ccccc3)[nH]c-2n1	CN(C)S(N)(=O)=O.c1c[nH]c2ncnc-2c1.c1ccccc1	1.0	1.0	1	0.2
1	NC(=S)NC(=O)Cc1c(O)nc(-c2cccnc2)nc1Nc1ccc(N2CCCC2)c(Cl)c1	CCC.Oc1ccncn1.c1ccncc1	1.0	1.0	1	0.24
1	COc1ccccc1-c1cn2c(-c3cc(N4CCOCC4)nc(NC(C)=O)n3)csc2n1	C1COCCN1.CC=O.c1cn2ccsc2n1.c1cncnc1	1.0	1.0	0	0.09
1	COc1cc(-c2cnc(-c3ccc(Cl)c(Cl)c3)nc2NCc2ccc[nH]2)cc(OC)c1OC	c1cc[nH]c1.c1cncnc1	1.0	1.0	1	0.37
1	CCOC(=O)c1ccccc1NC(=O)Nc1nc(-c2ccccc2)nc2ccccc12	C=O.c1ccc2ncncc2c1	1.0	1.0	0	0.08
1	NC(=O)c1ccsc1NC(=O)c1conc1-c1c(F)cccc1Cl	Fc1cccc(Cl)c1.NC=O	1.0	1.0	0	0.05
1	CCNC(=O)c1cc(F)cc(Nc2csc3ccnc(N)c23)c1	C=O.CC.Fc1ccccc1.Nc1nccc2sccc12	1.0	1.0	1	0.3
1	COc1cc2c(C(=O)Nc3nc(-c4ccccc4)cs3)ncnc2cc1O	C=O.c1ccc2ncncc2c1	1.0	1.0	0	0.13
1	O=C(NCCCn1cnc2c(nnn2-c2cccc(Cl)c2Cl)c1=O)NCc1ccc(Cl)cc1Cl	C=O.CCC.Clc1cccc(Cl)c1	1.0	1.0	0	0.04
1	CC=S(O)(O)=Nc1ccc(-c2ccc(F)cc2)c(C(F)(F)F)c1	CC=S(O)(O)=Nc1ccccc1.Fc1ccccc1	1.0	1.0	0	0.0
1	COc1nc2cccc(Nc3cc[nH]n3)c2cc1C(c1ncnc2[nH]ccc12)N1CCC(OC)CC1	c1ncc2cc[nH]c2n1	1.0	1.0	1	0.54
1	CCOc1ccccc1-n1cc(CN2C(=O)C(C3CCCC3)Nc3ncnc(N)c32)cn1	C1CCCC1.CN1C(=O)CNc2ncncc21.c1ccccc1	1.0	1.0	0	0.19
1	Cc1[nH]nc2nc(-c3c(-c4ccnc(N)c4)[nH]c4ncccc34)ccc12	Cc1[nH]nc2ncccc12.Nc1ccccn1	1.0	1.0	1	0.5
1	CC(C)c1ccc(NC(=O)CSc2nc(Cl)cc(C3CCCCC3)n2)cc1	C1CCCCC1.Clc1ccncn1	1.0	1.0	0	0.02
1	OCCNc1nn2ncc(-c3ccncn3)cc2c1-c1ccc(F)c(F)c1	CC.c1cncnc1.c1cnn2nccc2c1	1.0	1.0	1	0.53
1	COc1ccccc1C=C1CCN(c2ccc(NC(=O)C(Cl)c3c(F)cccc3Cl)cc2)CC1	C1CCNCC1.CC=O	1.0	1.0	0	0.02
1	Cc1ccc(OC(=O)c2cccc(-c3ccc(C4(C)CC4)cc3)c2)c(CO)c1O	C1CC1.C=O.Oc1ccccc1	1.0	1.0	0	0.06
1	N#Cc1ccc(CSc2nnc(C(=O)c3ccc4c(c3)OCCO4)o2)cc1	N#Cc1ccccc1.c1ccc2c(c1)OCCO2.c1nnco1	1.0	1.0	1	0.26
1	COc1cccc(NC(=O)C=CC2=C(C)COC=C2c2cc3c(N)nc(-c4ccc(CN5CCN(C)CC5)cc4)nc3o2)c1	CO.c1ccccc1.c1ncc2ccoc2n1	1.0	1.0	1	0.22
1	C[S+]([O-])c1ccc(C(=O)Nc2c(-c3cccc(F)c3C(=O)Nc3cccc(Br)c3)cnc3[nH]cnc23)cn1	Fc1ccccc1.c1cnc2[nH]cnc2c1	1.0	1.0	1	0.26
1	Nc1ccnc2nc(-c3ccc4[nH]cnc4c3)nc(N3CC4CCC(C3)O4)c12	c1ccc2[nH]cnc2c1	1.0	1.0	1	0.33
