Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	Fc1cc(Nc2ccc3nccn3c2)cc(Br)c1F	Fc1cccc(Br)c1F	1.0	1.0	0	0.08
1	O=C(c1cccc(OCc2nc(-c3ccc(Cl)cc3)c3ccccc3n2)c1)c1ccc2cc[nH]c2c1	c1ccc2[nH]ccc2c1	1.0	1.0	1	0.35
1	COc1ccc(-c2nc3nc(-c4cnc5cc4-c4cccc([NH2+][O-])c4-5)cc(Cl)c3n2Cl)cc1	c1cnc2nc[nH]c2c1	1.0	1.0	0	0.0
1	CCOC1COCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4)cc2)O1	CN	1.0	1.0	1	0.4
1	NC(=O)NC(=O)c1cnc(N2CC(NCO)CC2C(F)F)nc1Nc1ccc(Cl)cc1	NC1CCNC1	1.0	1.0	1	0.22
1	O=C(NCc1cccc(Nc2ccc(F)c(Cl)c2)n1)c1noc(C2CCCCC2)n1	C1CCCCC1	1.0	1.0	0	0.09
1	CC1CCC(NC(=O)c2ccc(-c3ccnc4[nH]cnc34)c3ccsc23)CC1	C=O.c1cnc2[nH]cnc2c1	1.0	1.0	1	0.21
1	CN1CCN(CCN(C(=O)OCc2ccccc2)C2CCN(C3CC3CCNC(=O)c3cc(F)cc(F)c3)CC2)CC1	CN1CCNCC1.Fc1cccc(F)c1	1.0	1.0	0	0.03
1	CSC1=NC=C2C=C2N=C(c2cnc(N)s2)C=C(C=C(OCc2ccc(F)cc2)C(=O)N2CCN(C)CC2)N=N1	CN1CCNCC1	1.0	1.0	0	0.0
1	CCOc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NC(C(=O)O)C2	Clc1cccc(C2=NCCc3ccc(Cl)cc32)c1	1.0	1.0	0	0.03
1	COc1cccc(NC(=O)C=CCc2ccc(C)o2)c1	Cc1ccco1.c1ccccc1	1.0	1.0	0	0.0
1	CC(CC(=O)O)Oc1cccc(Oc2nsnc2C=C2NN(C)C(=N)CS2)c1	CCCC=O	1.0	1.0	0	0.0
1	COc1ccc(Nc2ncnc(-c3cc(C(=O)O)c(=O)oc3C(C)C)c2[N+](=O)[O-])cn1	O=CO.O=[N+]([O-])c1cncnc1	1.0	1.0	0	0.11
1	CCc1oc(-c2ccccc2F)nc1CN1c2ccccc2C(=O)NC2CCCC3CCCC(C(=O)N(C)C)CN3CC21	C=O.CNC	1.0	1.0	0	0.08
1	CC(C)(NC(=O)NC1=CCNN=C1Cl)c1cccc(F)c1	C=O.Fc1ccccc1	1.0	1.0	0	0.0
1	Cc1ccc2c(-c3cnccn3)c(-c3csc(Nc4ccccc4F)n3)nn2n1	Cc1ccc2ccnn2n1.c1ccccc1	1.0	1.0	1	0.24
1	CN1CCCC(c2c[nH]c3ncc(Nc4cnc(NS(=O)(=O)c5ccccc5)nc4Cl)cc23)C1	Clc1ccncn1.c1cnc2[nH]ccc2c1	1.0	1.0	1	0.35
1	COc1ccc(C=C(C#N)C#N)cc1OC	N#CCC#N	1.0	1.0	1	0.28
