Epoch	SMILES	Frags	Valid	Accurate	Desired	DiverseHitsScorer
1	NC(=O)CCC(N)C(=O)NCCNCCNC(=O)C1C=CC(NC(=O)OCc2ccccc2)NN(Cc2c(F)cc(F)cc2F)C(=O)c2ccc3c(c21)C(=CC=CCl)C=CO3	NC=O	1.0	1.0	0	0.0
1	CCC(NC(=O)c1ccc(OCC2CCC(=O)N2)cc1)c1cc(Br)ccc1F	Fc1ccc(Br)cc1.O=C1CCCN1	1.0	1.0	0	0.06
1	COc1cc(OC)cc(-n2nc(NC(C)=O)nc2-c2cc(OC)cc(OC)c2C#Cc2cccc(C)c2)c1	CO.c1nc[nH]n1	1.0	1.0	0	0.01
1	NC(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1	NC=O	1.0	1.0	0	0.0
1	COC(=O)C(Cc1ccc(-n2c(S)nnc2C(C)C)cc1)NC(=O)Cc1c(C)csc1N(C)C	CO.Cc1ccsc1	1.0	1.0	0	0.05
1	Cc1cc(C(=O)CSc2ccc3nc(-c4ncn[nH]4)ccc3c2)c(C)n1C1CC1	CC=O.c1ccc2ncccc2c1.c1nc[nH]n1	1.0	1.0	0	0.06
1	CCn1c(CCC(=O)NCCN2CCOCC2)nn2nc(-c3ccc(Cl)cc3)cc2c1=O	C1COCCN1	1.0	1.0	0	0.02
1	C=CCc1ncccc1C1CCN(c2ccccc2)CC1NC(=O)C(C)(C)C	C1CCNCC1.c1ccccc1.c1ccncc1	1.0	1.0	0	0.01
1	COCCN1C=CC=C(c2cc(-c3c(-c4ccc(C)cc4)ccc4ccccc34)c(OC)c3c(OC)cc(C(C(O)N4CCc5ccccc54)N4CCOCC4)cc23)C1	C1COCCN1.Cc1ccccc1.c1ccc2ccccc2c1	1.0	1.0	0	0.0
1	O=C1C(c2ccc(F)cc2)CCN2C(=O)C(O)(Cc3ccccc3)CC3(c4ccncc4)CN1CCC23	Fc1ccccc1.c1ccncc1	1.0	1.0	0	0.0
1	CC(C)c1onc(SCCNc2ccc(Cl)cc2)c1COc1nc(Nc2cn[nH]c2)nc2ccc(N)cc12	c1ccc2ncncc2c1.c1cnoc1	1.0	1.0	0	0.14
1	Cc1cc(Nc2cc(Nc3ccc(Cl)cc3)nc(N3CCOCC3)n2)n[nH]1	C1COCCN1	1.0	1.0	0	0.12
1	O=C(N=C1CC=C(F)CC1C(F)(F)F)c1cc(OCCCN2CCOCC2)c2ccccc2n1	C1COCCN1.O=CN=C1CC=C(F)CC1.c1ccc2ncccc2c1	1.0	1.0	0	0.0
1	CC(NS(=O)(=O)c1ccc2c(c1)NC(=O)CO2)c1[nH]nc(-c2ccc(F)cc2)c1Cc1ccncc1	Fc1ccccc1.c1ccncc1	1.0	1.0	0	0.16
1	CN1CCN(c2ccc(C(N)=O)c(Nc3ccc4ccccc4c3)n2)CC1	NC=O	1.0	1.0	0	0.18
1	CCCc1nc2ccc(C(=O)C3=C(C)C=CC=C(CC)CS3(=O)=O)cc2o1	C=O	1.0	1.0	0	0.0
1	Cc1ccc(S(=O)(=O)N(CC(C)C)C2Cc3cccc4c3C3(CCN4C(=O)c4ccccc4)CC23)cc1	C=O	1.0	1.0	0	0.04
1	CN(C)Cc1nc(-c2ccc(Oc3ccccc3)cc2)[nH]c1C[S+]([O-])c1ccccc1	C[S+]([O-])c1ccccc1.c1c[nH]cn1	1.0	1.0	0	0.07
1	N#Cc1c(N)cc(-c2cccc(OCC(=O)O)c2)nc1O	CC=O.N#Cc1cnccc1N.c1ccccc1	1.0	1.0	0	0.03
1	Cc1ccc(-c2ccccc2)c(S(=O)(=O)Nc2nc(C)nn2-c2ccsc2)c1	Cc1nc[nH]n1.c1ccsc1	1.0	1.0	0	0.03
1	N#Cc1ccc(Cn2cc(N)c3cc(OCCN4CCOCC4)ccc32)cc1	C1COCCN1	1.0	1.0	0	0.01
1	Cc1cccc(NC(=O)CNCCSC2=NNN(c3ccccc3)C=C2C(=O)NCCCCN2CCOCC2)c1	C1COCCN1	1.0	1.0	0	0.01
1	CC(C)COC(O)c1cc(-c2cncc(-c3ccc(F)cc3)c2)cc([N+](=O)[O-])c1	Fc1ccccc1.c1ccncc1	1.0	1.0	0	0.13
1	CS(=O)(=O)c1ccc(-c2ccc(F)c(C3=NCc4cncnc4-c4ccc(Cl)cc43)c2F)c(F)c1	Fc1cccc(F)c1C1=NCc2cncnc2-c2ccc(Cl)cc21	1.0	1.0	0	0.07
1	CC(C)Nc1cc(C=CC2C(=O)NCCC=NN2C=C(C(=O)c2cccc(F)c2)c2cccs2)ccc1S(C)(=O)=O	CC=O.CS(=O)(=O)c1ccccc1	1.0	1.0	0	0.0
1	Cc1onc(-c2cccnc2)c1C(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1	C1COCCN1.Cc1ccno1.c1ccncc1	1.0	1.0	0	0.02
1	O=C(Nc1cc(C2CCCC2)ccn1)c1cc(-c2ccccc2)[nH]n1	C1CCCC1.c1cn[nH]c1	1.0	1.0	0	0.13
1	N#CC(NC(=O)C(F)(F)C1OCCN(F)C1c1ccc(Br)cc1)c1ccc2cc(Cl)ccc2c1	C1COCCN1	1.0	1.0	0	0.0
1	CC1C(c2cncnc2)=CNc2ccc(NC(=O)Nc3ccc(O)cc3)nc21	C=O	1.0	1.0	0	0.04
